id_transakcji,czas_transakcji,kwota,waluta,kraj_karty,kraj_ip,kategoria_sklepu,karta_obecna,liczba_transakcji_10min,kwota_vs_srednia_klienta,nowy_odbiorca,decyzja_starego_systemu,czy_fraud
TX-100135,2026-06-13 13:34:00,286.93,PLN,PL,PL,gaming,nie,1,1.42,tak ,PRZEPUSZCZONA,nie
TX-100152,2026-06-13 14:57:56,210.4,PLN,PL,PL,gaming,nie,1,1.53,nie,PRZEPUSZCZONA,nie
TX-100126,2026-05-24 15:23:29,363.95,USD,PL,PL,sport,nie,1,0.78,tak,PRZEPUSZCZONA,nie
TX-100139,2026-05-27 15:50:57,450.97,PLN,PL,PL,elektronika,nie,3,1.39,nie,PRZEPUSZCZONA,nie
TX-100169,2026-06-16 16:31:29,519.19,PLN,PL,PL,elektronika,nie,1,1.27,nie,PRZEPUSZCZONA,nie
TX-100183,2026-06-01 08:10:27,747.43,PLN,PL,RU,bilety,nie,2,4.24,nie,ZABLOKOWANA,tak
TX-100090,2026-05-19 15:22:06,147.73,PLN,PL,PL,kosmetyki,nie,1,1.32,nie,PRZEPUSZCZONA,nie
TX-100057,2026-05-28 08:14:41,181.47,PLN,PL,PL,sport,nie,1,1.08,nie,PRZEPUSZCZONA,nie
TX-100078,2026-05-17 14:29:23,440.95,PLN,PL,PL,gaming,tak,1,0.85,nie,PRZEPUSZCZONA,nie
TX-100026,2026-05-23 18:56:55,407.98,EUR,PL,PL,spożywczy,tak,1,1.22,nie,PRZEPUSZCZONA,nie
TX-100134,2026-06-26 11:01:05,334.47,PLN,IT,IT,sport,nie,3,,nie,PRZEPUSZCZONA,nie
TX-100110,2026-05-17 06:30:55,608.08,PLN,PL,PL,spożywczy,nie,1,1.22,nie,PRZEPUSZCZONA,nie
TX-100052,2026-05-24 09:00:45,187.01,PLN,PL,PL,sport,nie,4,1.54,nie,PRZEPUSZCZONA,nie
TX-100091,2026-05-15 19:54:35,534.16,PLN,PL,PL,spożywczy,nie,1,0.62,nie,PRZEPUSZCZONA,nie
TX-100079,2026-06-05 11:39:14,417.39,PLN,PL,PL,sport,nie,1,0.47,tak,PRZEPUSZCZONA,nie
TX-100007,2026-06-28 16:09:16,487.3,USD,PL,PL,spożywczy,nie,1,0.44,nie,PRZEPUSZCZONA,nie
TX-100065,2026-06-20 19:21:59,182.46,PLN,PL,PL,sport,nie,2,1.56,nie,PRZEPUSZCZONA,nie
TX-100120,2026-05-19 11:05:20,207.54,PLN,IT,IT,elektronika,nie,1,1.01,nie,PRZEPUSZCZONA,nie
TX-100097,2026-05-27 11:25:01,121.66,PLN,PL,PL,dom i ogród,nie,1,,nie,PRZEPUSZCZONA,nie
TX-100106,2026-06-02 12:23:19,148.65,PLN,PL,PL,odzież,nie,3,0.86,nie,PRZEPUSZCZONA,nie
TX-100113,2026-05-02 10:53:09,475.98,PLN,PL,DE,apteka,nie,1,0.83,nie,PRZEPUSZCZONA,nie
TX-100041,2026-06-09 14:58:25,434.99,PLN,PL,PL,sport,nie,2,1.32,tak,PRZEPUSZCZONA,nie
TX-100076,2026-06-17 13:12:08,571.18,PLN,PL,PL,sport,nie,1,0.45,nie,PRZEPUSZCZONA,nie
TX-100085,2026-06-19 12:37:06,153.35,PLN,PL,FR,elektronika,nie,2,0.58,nie,PRZEPUSZCZONA,nie
TX-100133,2026-05-04 11:24:55,170.4,PLN,PL,PL,sport,nie,1,1.14,nie,PRZEPUSZCZONA,nie
TX-100202,2026-06-10 14:05:09,320.0,EUR,PL,ES,,nie,1,1.4,nie,ZABLOKOWANA,nie
TX-100054,2026-05-20 07:15:07,277.52,PLN,PL,PL,sport,nie,1,0.87,nie,PRZEPUSZCZONA,nie
TX-100071,2026-05-10 10:26:36,126.88,PLN,PL,PL,gaming,nie,1,1.22,nie,PRZEPUSZCZONA,nie
TX-100182,2026-05-06 05:57:35,1272.33,PLN,PL,PL,spożywczy,nie,1,4.74,tak,ZABLOKOWANA,tak
TX-100144,2026-06-27 22:52:22,525.34,PLN,PL,PL,sport,nie,1,,nie,PRZEPUSZCZONA,nie
TX-100020,2026-05-27 16:36:33,178.37,PLN,PL,PL,bilety,nie,1,0.89,nie,PRZEPUSZCZONA,nie
TX-100050,2026-05-20 16:23:30,231.32,PLN,PL,PL,bilety,nie,4,0.91,nie,PRZEPUSZCZONA,nie
TX-100174,2026-05-06 14:27:41,373.02,PLN,PL,CZ,gaming,nie,2,1.53,tak,PRZEPUSZCZONA,nie
TX-100061,2026-06-18 15:29:05,218.25,PLN,PL,PL,dom i ogród,nie,1,1.35,nie,PRZEPUSZCZONA,nie
TX-100168,2026-06-29 15:46:26,137.17,PLN,PL,ES,,nie,1,1.13,nie,PRZEPUSZCZONA,nie
TX-100032,2026-06-17 20:39:36,361.58,PLN,PL,PL,kosmetyki,nie,1,1.29,nie,PRZEPUSZCZONA,nie
TX-100002,2026-05-27 10:37:17,16.15,PLN,PL,PL,kosmetyki,nie,2,1.19,nie,PRZEPUSZCZONA,nie
TX-100006,2026-06-19 06:52:02,267.94,PLN,PL,PL,gaming,nie,1,0.94,nie,ZABLOKOWANA,nie
TX-100001,2026-05-16 10:47:06,581.21,PLN,PL,GB,gaming,nie,1,1.31,nie,PRZEPUSZCZONA,nie
TX-100167,2026-05-24 14:31:29,638.08,PLN,PL,PL,gaming,nie,2,0.34,nie,ZABLOKOWANA,nie
TX-100142,2026-05-12 13:34:21,443.2,PLN,PL,PL,,nie,2,0.54,nie,PRZEPUSZCZONA,nie
TX-100187,2026-06-06 09:34:11,1438.91,PLN,PL,NG,sport,nie,2,4.8,tak,ZABLOKOWANA,tak
TX-100087,2026-05-21 12:38:33,334.54,PLN,PL,PL,,tak,1,0.44,nie,PRZEPUSZCZONA,nie
TX-100189,2026-05-05 13:38:30,3044.34,PLN,PL,PL,kosmetyki,nie,2,9.98,tak,PRZEPUSZCZONA,tak
TX-100014,2026-06-25 11:32:15,321.69,PLN,PL,PL,gaming,tak,1,1.31,nie,PRZEPUSZCZONA,nie
TX-100033,2026-05-14 14:50:57,481.54,EUR,PL,PL,,nie,1,0.85,nie,ZABLOKOWANA,nie
TX-100157,2026-06-19 08:41:46,280.19,PLN,PL,PL,książki,nie,2,1.34,nie,ZABLOKOWANA,nie
TX-100048,2026-06-09 16:21:01,219.36,PLN,PL,PL,apteka,nie,1,1.22,nie,PRZEPUSZCZONA,nie
TX-100159,2026-05-15 10:22:09,610.07,PLN,PL,PL,elektronika,nie,2,0.97,nie,PRZEPUSZCZONA,nie
TX-100073,2026-05-17 13:19:12,556.43,PLN,PL,PL,dom i ogród,nie,1,1.27,nie,PRZEPUSZCZONA,nie
TX-100105,2026-06-28 12:41:44,94.27,PLN,PL,PL,książki,nie,1,0.96,nie,PRZEPUSZCZONA,nie
TX-100008,2026-06-25 08:40:10,281.34,PLN,PL,DE,książki,tak,1,0.86,nie,PRZEPUSZCZONA,nie
TX-100047,2026-06-11 10:51:58,320.47,PLN,PL,PL,sport,nie,1,0.48,nie,PRZEPUSZCZONA,nie
TX-100066,2026-06-05 18:24:29,566.81,PLN,PL,PL,dom i ogród,nie,4,1.01,nie,PRZEPUSZCZONA,nie
TX-100059,2026-06-23 19:37:01,440.92,PLN,PL,PL,spożywczy,nie,1,0.99,nie,PRZEPUSZCZONA,nie
TX-100064,2026-06-15 11:53:30,167.5,PLN,CZ,CZ,spożywczy,tak,1,1.6,nie,PRZEPUSZCZONA,nie
TX-100010,2026-05-07 20:19:53,400.52,PLN,PL,PL,książki,nie,1,1.24,nie,PRZEPUSZCZONA,nie
TX-100081,2026-06-09 13:17:02,150.62,PLN,PL,PL,kosmetyki,nie,1,0.76,nie,PRZEPUSZCZONA,nie
TX-100172,2026-06-21 21:11:06,346.56,PLN,PL,PL,dom i ogród,nie,1,0.93,nie,PRZEPUSZCZONA,nie
TX-100092,2026-06-28 12:00:11,373.31,PLN,PL,PL,książki,nie,1,0.67,tak,PRZEPUSZCZONA,nie
TX-100192,2026-06-19 17:44:32,648.46,PLN,PL,BR,dom i ogród,nie,1,3.19,nie,PRZEPUSZCZONA,tak
TX-100009,2026-05-08 17:34:48,420.93,PLN,PL,IT,książki,tak,1,1.29,nie,PRZEPUSZCZONA,nie
TX-100178,2026-05-29 14:22:35,8.34,PLN,PL,IN,apteka,nie,17,0.71,tak,ZABLOKOWANA,tak
TX-100123,2026-06-06 08:23:25,189.8,PLN,PL,PL,bilety,tak,1,1.08,nie,ZABLOKOWANA,nie
TX-100055,2026-05-28 11:39:03,484.18,PLN,PL,PL,,nie,1,1.23,nie,PRZEPUSZCZONA,nie
TX-100104,2026-05-22 06:06:35,193.29,PLN,PL,PL,kosmetyki,tak,1,0.98,nie,PRZEPUSZCZONA,nie
TX-100170,2026-05-05 21:42:03,275.11,PLN,PL,PL,książki,nie,2,1.49,nie,PRZEPUSZCZONA,nie
TX-100196,2026-06-09 03:28:37,961.02,PLN,PL,DE,odzież,nie,3,2.86,nie,PRZEPUSZCZONA,tak
TX-100116,2026-05-23 10:42:40,383.25,PLN,PL,DE,spożywczy,nie,1,0.59,tak,ZABLOKOWANA,nie
TX-100203,2026-06-11 19:40:22,540.0,PLN,PL,PL,elektronika,nie,2,2.1,tak,PRZEPUSZCZONA,tak
TX-100186,2026-05-26 22:18:47,1458.09,PLN,PL,CN,dom i ogród,nie,1,2.64,nie,PRZEPUSZCZONA,tak
TX-100114,2026-06-27 14:34:01,378.88,PLN,PL,PL,apteka,nie,1,0.97,nie,PRZEPUSZCZONA,nie
TX-100188,2026-05-05 19:50:50,1074.87,PLN,DE,CN,bilety,nie,1,3.72,tak,PRZEPUSZCZONA,tak
TX-100035,2026-06-11 17:57:48,576.93,PLN,PL,PL,odzież,nie,2,1.04,nie,PRZEPUSZCZONA,nie
TX-100143,2026-06-05 11:19:49,144.24,PLN,PL,PL,odzież,nie,1,0.91,nie,ZABLOKOWANA,nie
TX-100191,2026-05-07 03:14:32,1181.96,PLN,PL,RU,sport,nie,3,4.75,tak,ZABLOKOWANA,tak
TX-100132,2026-05-21 17:55:22,95.43,PLN,PL,PL,bilety,nie,1,1.13,nie,PRZEPUSZCZONA,nie
TX-100150,2026-06-18 09:39:54,270.7,PLN,PL,PL,spożywczy,nie,1,1.16,nie,PRZEPUSZCZONA,nie
TX-100096,2026-06-23 16:22:04,485.42,PLN,POL,PL,dom i ogród,nie,1,0.71,nie,ZABLOKOWANA,nie
TX-100043,2026-06-18 03:15:12,408.41,PLN,PL,PL,kosmetyki,nie,1,1.03,nie,PRZEPUSZCZONA,nie
TX-100067,2026-06-15 20:24:24,517.55,PLN,PL,PL,odzież,tak,3,0.88,tak,PRZEPUSZCZONA,nie
TX-100089,2026-05-06 13:47:47,95.01,PLN,PL,PL,dom i ogród,nie,1,1.82,nie,ZABLOKOWANA,nie
TX-100200,2026-06-01 05:34:44,1882.18,PLN,PL,RU,bilety,nie,1,4.22,nie,ZABLOKOWANA,tak
TX-100042,2026-05-25 11:53:26,64.26,PLN,PL,PL,odzież,tak,1,1.19,nie,PRZEPUSZCZONA,nie
TX-100003,2026-05-23 19:38:16,477.57,PLN,PL,PL,kosmetyki,nie,1,0.2,nie,PRZEPUSZCZONA,nie
TX-100036,2026-06-12 14:35:38,493.85,PLN,PL,PL,książki,tak,1,,TAK,PRZEPUSZCZONA,nie
TX-100179,2026-06-15 07:17:09,1125.18,PLN,PL,CN,kosmetyki,nie,1,4.09,nie,ZABLOKOWANA,tak
TX-100031,2026-06-28 11:20:42,471.2,PLN,PL,IT,dom i ogród,nie,1,0.91,nie,PRZEPUSZCZONA,nie
TX-100185,2026-05-22 04:21:27,1956.18,PLN,DE,RU,sport,nie,1,3.2,tak,PRZEPUSZCZONA,tak
TX-100149,2026-06-04 14:56:08,310.6,PLN,PL,PL,kosmetyki,nie,1,1.06,nie,PRZEPUSZCZONA,nie
TX-100190,2026-06-12 03:10:41,1.75,PLN,PL,PL,kosmetyki,nie,17,2.92,tak,ZABLOKOWANA,tak
TX-100117,2026-06-14 14:11:51,468.84,PLN,PL,PL,bilety,tak,1,1.09,nie,ZABLOKOWANA,nie
TX-100030,2026-05-08 12:36:12,464.21,PLN,PL,PL,gaming,nie,1,0.96,N,PRZEPUSZCZONA,nie
TX-100148,2026-06-20 14:59:47,602.81,PLN,CZ,FR,kosmetyki,nie,2,0.81,tak,ZABLOKOWANA,nie
TX-100023,2026-06-17 15:17:18,469.84,PLN,PL,PL,odzież,tak,1,1.14,nie,PRZEPUSZCZONA,nie
TX-100063,2026-06-21 10:10:19,364.34,PLN,PL,PL,sport,nie,2,1.91,nie,PRZEPUSZCZONA,nie
TX-100015,2026-05-13 07:42:27,274.28,PLN,PL,PL,odzież,nie,1,1.08,nie,PRZEPUSZCZONA,nie
TX-100201,2026-06-14 03:12:41,4.99,PLN,PL,BR,gaming,nie,14,1.2,tak,ZABLOKOWANA,tak
TX-100112,2026-05-07 19:41:21,99.79,PLN,PL,PL,sport,nie,1,1.07,nie,PRZEPUSZCZONA,nie
TX-100162,2026-06-07 20:58:11,284.55,PLN,PL,PL,książki,tak,1,0.73,nie,PRZEPUSZCZONA,nie
TX-100017,2026-06-29 18:15:10,319.11,PLN,PL,PL,sport,nie,1,1.5,tak,ZABLOKOWANA,nie
TX-100101,2026-05-23 14:19:29,48.3,PLN,PL,PL,sport,nie,2,1.07,nie,PRZEPUSZCZONA,nie
TX-100084,2026-05-08 16:01:08,2558.97,PLN,PL,PL,książki,nie,1,4.19,tak,PRZEPUSZCZONA,nie
TX-100163,2026-05-10 11:11:48,165.74,PLN,PL,PL,dom i ogród,nie,1,1.11,nie,PRZEPUSZCZONA,nie
TX-100171,2026-06-12 21:58:30,22.04,PLN,PL,IT,książki,nie,1,0.65,nie,PRZEPUSZCZONA,nie
TX-100053,2026-05-31 14:21:11,173.08,PLN,PL,GB,spożywczy,nie,1,1.11,nie,PRZEPUSZCZONA,nie
TX-100131,2026-06-11 21:30:15,449.02,PLN,DE,DE,apteka,nie,1,0.96,nie,PRZEPUSZCZONA,nie
TX-100021,2026-06-29 07:29:39,647.51,PLN,PL,PL,kosmetyki,tak,1,1.22,nie,PRZEPUSZCZONA,nie
TX-100080,2026-06-04 08:29:23,486.12,PLN,PL,PL,dom i ogród,nie,3,1.12,nie,PRZEPUSZCZONA,nie
TX-100166,2026-06-18 14:15:44,142.48,PLN,GB,GB,książki,nie,2,1.23,nie,PRZEPUSZCZONA,nie
TX-100072,2026-05-17 16:57:51,195.51,USD,PL,PL,bilety,tak,1,1.43,tak,PRZEPUSZCZONA,nie
TX-100040,2026-06-21 15:14:31,290.06,PLN,PL,PL,spożywczy,nie,1,1.03,nie,PRZEPUSZCZONA,nie
TX-100158,2026-05-08 09:34:25,476.37,PLN,PL,PL,książki,nie,1,0.98,tak,PRZEPUSZCZONA,nie
TX-100165,2026-06-25 07:51:48,440.39,PLN,PL,PL,gaming,tak,2,1.05,nie,PRZEPUSZCZONA,nie
TX-100138,2026-05-26 23:47:53,226.61,PLN,CZ,CZ,elektronika,nie,2,1.24,nie,PRZEPUSZCZONA,nie
TX-100199,2026-05-16 03:07:11,12.79,PLN,PL,NG,spożywczy,nie,17,1.55,tak,ZABLOKOWANA,tak
TX-100022,2026-06-04 17:39:51,16.99,PLN,PL,PL,spożywczy,nie,2,1.11,nie,PRZEPUSZCZONA,nie
TX-100103,2026-06-15 07:41:11,2386.01,PLN,PL ,PL,apteka,nie,1,6.05,nie,ZABLOKOWANA,nie
TX-100109,2026-05-31 20:12:23,375.93,PLN,PL,PL,gaming,nie,1,0.44,nie,PRZEPUSZCZONA,nie
TX-100107,2026-06-02 18:53:47,36.08,PLN,PL,PL,apteka,nie,1,0.69,nie,PRZEPUSZCZONA,nie
TX-100129,2026-06-10 21:17:08,404.01,PLN,PL,PL,apteka,nie,1,1.42,nie,PRZEPUSZCZONA,nie
TX-100161,2026-05-15 19:46:36,393.47,PLN,PL,PL,bilety,nie,1,0.86,tak,PRZEPUSZCZONA,nie
TX-100074,2026-06-13 18:03:58,328.91,PLN,PL,PL,kosmetyki,nie,2,1.21,nie,PRZEPUSZCZONA,nie
TX-100130,2026-05-03 19:01:05,2247.05,PLN,PL,PL,sport,nie,1,5.88,nie,PRZEPUSZCZONA,nie
TX-100102,2026-06-17 20:28:58,427.87,PLN,PL,PL,odzież,nie,1,,nie,PRZEPUSZCZONA,nie
TX-100016,2026-05-29 08:11:17,569.92,PLN,PL,PL,książki,tak,1,0.91,nie,ZABLOKOWANA,nie
TX-100011,2026-06-01 02:59:23,542.6,PLN,CZ,CZ,odzież,nie,2,0.96,nie,PRZEPUSZCZONA,nie
TX-100056,2026-06-14 15:18:02,463.04,PLN,PL,PL,apteka,nie,1,0.92,nie,PRZEPUSZCZONA,nie
TX-100068,2026-06-03 20:00:46,567.66,PLN,PL,PL,apteka,nie,3,0.84,tak,PRZEPUSZCZONA,nie
TX-100195,2026-05-28 04:14:51,3444.99,PLN,PL,PL,dom i ogród,nie,1,11.05,tak,ZABLOKOWANA,tak
TX-100018,2026-06-16 23:35:42,110.76,PLN,PL,PL,kosmetyki,nie,1,0.43,nie,PRZEPUSZCZONA,nie
TX-100151,2026-05-01 10:15:28,620.67,PLN,PL,PL,odzież,nie,1,0.82,nie,PRZEPUSZCZONA,nie
TX-100005,2026-05-18 17:43:41,417.12,PLN,PL,PL,gaming,tak,1,0.74,nie,PRZEPUSZCZONA,nie
TX-100197,2026-05-24 11:29:07,12.4,PLN,PL,NG,kosmetyki,nie,20,1.82,tak,ZABLOKOWANA,tak
TX-100121,2026-06-09 23:17:40,616.76,EUR,PL,PL,spożywczy,nie,1,1.44,nie,PRZEPUSZCZONA,nie
TX-100045,2026-05-05 15:53:40,456.81,PLN,PL,PL,książki,nie,2,0.83,nie,PRZEPUSZCZONA,nie
TX-100175,2026-06-06 14:02:59,602.52,EUR,DE,DE,apteka,nie,1,1.36,nie,PRZEPUSZCZONA,nie
TX-100140,2026-06-10 17:49:53,536.22,PLN,PL,PL,sport,nie,1,1.07,nie,PRZEPUSZCZONA,nie
TX-100094,2026-05-29 13:13:48,232.22,PLN,PL,PL,bilety,nie,1,0.59,nie,PRZEPUSZCZONA,nie
TX-100108,2026-05-29 05:23:43,630.6,PLN,PL,PL,gaming,nie,1,1.51,nie,PRZEPUSZCZONA,nie
TX-100146,2026-06-15 13:43:49,627.36,PLN,Polska,PL,sport,nie,4,1.37,tak,PRZEPUSZCZONA,nie
TX-100100,2026-06-29 20:41:40,218.21,PLN,PL,PL,bilety,nie,4,0.65,nie,PRZEPUSZCZONA,nie
TX-100034,2026-05-13 08:02:15,401.99,PLN,PL,PL,dom i ogród,tak,1,0.76,nie,PRZEPUSZCZONA,nie
TX-100082,2026-05-08 21:52:29,147.32,PLN,PL,PL,spożywczy,nie,1,1.09,nie,PRZEPUSZCZONA,nie
TX-100093,2026-05-22 09:19:46,612.62,PLN,PL,PL,sport,nie,1,0.4,nie,PRZEPUSZCZONA,nie
TX-100004,2026-05-03 16:49:18,557.69,PLN,PL,PL,spożywczy,nie,2,0.79,nie,ZABLOKOWANA,nie
TX-100136,2026-05-25 14:48:35,643.04,PLN,PL,PL,kosmetyki,tak,1,0.62,tak,PRZEPUSZCZONA,nie
TX-100019,2026-06-02 21:33:10,1966.44,PLN,PL,PL,apteka,tak,2,3.34,nie,PRZEPUSZCZONA,nie
TX-100153,2026-05-30 18:38:23,362.41,PLN,GB,GB,odzież,nie,1,0.57,nie,PRZEPUSZCZONA,nie
TX-100164,2026-05-16 10:21:41,298.96,PLN,PL,PL,dom i ogród,nie,1,1.68,nie,PRZEPUSZCZONA,nie
TX-100128,2026-05-04 19:33:09,115.33,PLN,PL,PL,bilety,tak,3,0.71,nie,PRZEPUSZCZONA,nie
TX-100062,2026-06-09 18:40:28,141.87,PLN,PL,PL,odzież,nie,1,0.93,nie,PRZEPUSZCZONA,nie
TX-100029,2026-06-13 22:34:21,85.59,PLN,PL,PL,kosmetyki,nie,3,1.22,nie,PRZEPUSZCZONA,nie
TX-100099,2026-06-11 19:15:06,137.86,PLN,PL,PL,apteka,nie,1,0.53,tak,PRZEPUSZCZONA,nie
TX-100127,2026-06-22 15:08:20,299.08,PLN,PL,PL,spożywczy,nie,2,0.86,nie,PRZEPUSZCZONA,nie
TX-100115,2026-05-06 14:23:04,359.12,PLN,PL,PL,kosmetyki,nie,1,1.09,nie,PRZEPUSZCZONA,nie
TX-100039,2026-06-19 15:44:01,500.45,EUR,PL,PL,dom i ogród,tak,1,,nie,PRZEPUSZCZONA,nie
